"species","yearcollected","decimalLongitude","decimalLatitude"
"Gadus morhua",2011,-62.92325,47.02809
"Gadus morhua",2011,-61.02909,47.21717
"Gadus morhua",2014,-64.54542,47.68917
"Gadus morhua",2011,-63.20225,48.0125
"Gadus morhua",2014,-63.64159,46.77867
"Gadus morhua",2011,-62.208,48.284
"Gadus morhua",2010,-61.26992,46.44784
"Gadus morhua",2010,-63.87409,48.63817
"Gadus morhua",2010,-63.48433,47.85375
"Gadus morhua",2011,-63.623,46.76542
"Gadus morhua",2011,-63.2755,48.73217
"Gadus morhua",2011,-61.62192,47.98658
"Gadus morhua",2014,-63.15717,48.0645
"Gadus morhua",2013,-63.22984,46.75042
"Gadus morhua",2011,-63.34958,48.01184
"Gadus morhua",2011,-61.362,47.33575
"Gadus morhua",2012,-63.13358,47.99634
"Gadus morhua",2012,-63.4855,46.57117
"Gadus morhua",2014,-62.92625,47.69992
"Gadus morhua",2013,-61.957,47.89909
"Gadus morhua",2014,-62.59584,48.19042
"Gadus morhua",2011,-62.76642,47.96625
"Gadus morhua",2012,-64.44475,47.72184
"Gadus morhua",2013,-62.07684,47.45783
"Gadus morhua",2011,-63.52875,47.05809
"Gadus morhua",2011,-62.7025,46.93209
"Gadus morhua",2013,-61.28725,47.06217
"Gadus morhua",2013,-65.24517,47.93425
"Gadus morhua",2014,-62.026,46.66909
"Gadus morhua",2013,-61.74909,46.84983
"Gadus morhua",2010,-63.85809,47.9535
"Gadus morhua",2011,-64.03742,47.75859
"Gadus morhua",2010,-63.47025,47.48308
"Gadus morhua",2011,-62.09392,47.48459
"Gadus morhua",2014,-63.6085,47.891
"Gadus morhua",2013,-64.26717,47.0955
"Gadus morhua",2010,-61.42067,48.06292
"Gadus morhua",2011,-61.19309,47.29283
"Gadus morhua",2011,-63.77084,48.01025
"Gadus morhua",2013,-64.31567,47.96892
"Gadus morhua",2012,-61.36625,48.13708
"Gadus morhua",2012,-63.6575,48.05375
"Gadus morhua",2011,-61.18875,46.99009
"Gadus morhua",2011,-63.06942,48.16042
"Gadus morhua",2013,-63.78525,46.92192
"Gadus morhua",2014,-61.935,47.97792
"Gadus morhua",2011,-60.46075,47.25259
"Gadus morhua",2010,-62.76225,47.03792
"Gadus morhua",2010,-61.94275,47.55358
"Gadus morhua",2012,-61.37675,46.94858
"Gadus morhua",2012,-61.92492,46.94792
"Gadus morhua",2013,-62.9025,46.4725
"Gadus morhua",2013,-60.75667,47.22575
"Gadus morhua",2012,-61.73108,47.89342
"Gadus morhua",2012,-62.97608,47.895
"Gadus morhua",2011,-61.69484,45.782
"Gadus morhua",2011,-61.1135,47.74858
"Gadus morhua",2011,-62.38392,46.95375
"Gadus morhua",2013,-63.62075,46.76858
"Gadus morhua",2010,-63.10175,46.64142
"Gadus morhua",2010,-63.32484,48.42367
"Gadus morhua",2012,-62.76225,46.68534
"Gadus morhua",2012,-62.52617,46.51334
"Gadus morhua",2013,-64.09334,47.11958
"Gadus morhua",2010,-63.64883,48.81342
"Gadus morhua",2012,-63.95742,48.24933
"Gadus morhua",2012,-61.71467,47.01992
"Gadus morhua",2014,-62.06517,48.20325
"Gadus morhua",2013,-63.11575,46.95084
"Gadus morhua",2014,-62.25475,48.04225
"Gadus morhua",2012,-62.52867,48.27075
"Gadus morhua",2014,-62.37959,48.09042
"Gadus morhua",2011,-64.65158,47.51117
"Gadus morhua",2012,-62.9175,47.06675
"Gadus morhua",2012,-61.57625,46.122
"Gadus morhua",2012,-64.80825,48.06367
"Gadus morhua",2012,-61.54292,47.06517
